state,year,nationality,type,sex,agegrp,nPrisoners
Bihar,2012,Indians,Convicts,Male,16-18,0
Bihar,2012,Indians,Convicts,Male,18-30,1081
Bihar,2012,Indians,Convicts,Male,30-50,2025
Bihar,2012,Indians,Convicts,Male,50+,887
Bihar,2012,Indians,Under Trials,Female,16-18,0
Bihar,2012,Indians,Under Trials,Female,18-30,304
Bihar,2012,Indians,Under Trials,Female,30-50,397
Bihar,2012,Indians,Under Trials,Female,50+,117
Bihar,2012,Indians,Under Trials,Male,16-18,0
Bihar,2012,Indians,Under Trials,Male,18-30,9281
Bihar,2012,Indians,Under Trials,Male,30-50,10590
Bihar,2012,Indians,Under Trials,Male,50+,3570
Bihar,2013,Foreigners,Convicts,Female,16-18,0
Bihar,2013,Foreigners,Convicts,Female,18-30,0
Bihar,2013,Foreigners,Convicts,Female,30-50,4
Bihar,2013,Foreigners,Convicts,Female,50+,0
Bihar,2013,Foreigners,Convicts,Male,16-18,0
Bihar,2013,Foreigners,Convicts,Male,18-30,4
Bihar,2013,Foreigners,Convicts,Male,30-50,3
Bihar,2013,Foreigners,Convicts,Male,50+,1
Bihar,2013,Foreigners,Under Trials,Female,16-18,0
Bihar,2013,Foreigners,Under Trials,Female,18-30,3
Bihar,2013,Foreigners,Under Trials,Female,30-50,2
Bihar,2013,Foreigners,Under Trials,Female,50+,0
Bihar,2013,Foreigners,Under Trials,Male,16-18,0
Bihar,2013,Foreigners,Under Trials,Male,18-30,39
Bihar,2013,Foreigners,Under Trials,Male,30-50,11
Bihar,2013,Foreigners,Under Trials,Male,50+,0
Bihar,2013,Indians,Convicts,Female,16-18,0
Bihar,2013,Indians,Convicts,Female,18-30,18
Bihar,2013,Indians,Convicts,Female,30-50,63
Bihar,2013,Indians,Convicts,Female,50+,38
Bihar,2013,Indians,Convicts,Male,16-18,0
Bihar,2013,Indians,Convicts,Male,18-30,1168
Bihar,2013,Indians,Convicts,Male,30-50,2191
Bihar,2013,Indians,Convicts,Male,50+,990
Bihar,2013,Indians,Under Trials,Female,16-18,0
Bihar,2013,Indians,Under Trials,Female,18-30,349
Bihar,2013,Indians,Under Trials,Female,30-50,492
Bihar,2013,Indians,Under Trials,Female,50+,127
Bihar,2013,Indians,Under Trials,Male,16-18,0
Bihar,2013,Indians,Under Trials,Male,18-30,10755
Bihar,2013,Indians,Under Trials,Male,30-50,11310
Bihar,2013,Indians,Under Trials,Male,50+,3521
Chandigarh,2001,Foreigners,Convicts,Female,16-18,0
Chandigarh,2001,Foreigners,Convicts,Female,18-30,0
Chandigarh,2001,Foreigners,Convicts,Female,30-50,0
Chandigarh,2001,Foreigners,Convicts,Female,50+,0
Chandigarh,2001,Foreigners,Convicts,Male,16-18,0
Chandigarh,2001,Foreigners,Convicts,Male,18-30,0
Chandigarh,2001,Foreigners,Convicts,Male,30-50,2
Chandigarh,2001,Foreigners,Convicts,Male,50+,1
Chandigarh,2001,Foreigners,Under Trials,Female,16-18,0
Chandigarh,2001,Foreigners,Under Trials,Female,18-30,0
Chandigarh,2001,Foreigners,Under Trials,Female,30-50,0
Chandigarh,2001,Foreigners,Under Trials,Female,50+,0
Chandigarh,2001,Foreigners,Under Trials,Male,16-18,0
Chandigarh,2001,Foreigners,Under Trials,Male,18-30,0
Chandigarh,2001,Foreigners,Under Trials,Male,30-50,0
Chandigarh,2001,Foreigners,Under Trials,Male,50+,0
Chandigarh,2001,Indians,Convicts,Female,16-18,0
Chandigarh,2001,Indians,Convicts,Female,18-30,2
Chandigarh,2001,Indians,Convicts,Female,30-50,4
Chandigarh,2001,Indians,Convicts,Female,50+,0
Chandigarh,2001,Indians,Convicts,Male,16-18,2
Chandigarh,2001,Indians,Convicts,Male,18-30,29
Chandigarh,2001,Indians,Convicts,Male,30-50,56
Chandigarh,2001,Indians,Convicts,Male,50+,6
Chandigarh,2001,Indians,Under Trials,Female,16-18,0
Chandigarh,2001,Indians,Under Trials,Female,18-30,7
Chandigarh,2001,Indians,Under Trials,Female,30-50,9
Chandigarh,2001,Indians,Under Trials,Female,50+,2
Chandigarh,2001,Indians,Under Trials,Male,16-18,19
Chandigarh,2001,Indians,Under Trials,Male,18-30,107
Chandigarh,2001,Indians,Under Trials,Male,30-50,148
Chandigarh,2001,Indians,Under Trials,Male,50+,32
Chandigarh,2002,Foreigners,Convicts,Female,16-18,0
Chandigarh,2002,Foreigners,Convicts,Female,18-30,0
Chandigarh,2002,Foreigners,Convicts,Female,30-50,0
Chandigarh,2002,Foreigners,Convicts,Female,50+,0
Chandigarh,2002,Foreigners,Convicts,Male,16-18,0
Chandigarh,2002,Foreigners,Convicts,Male,18-30,0
Chandigarh,2002,Foreigners,Convicts,Male,30-50,2
Chandigarh,2002,Foreigners,Convicts,Male,50+,0
Chandigarh,2002,Foreigners,Under Trials,Female,16-18,0
Chandigarh,2002,Foreigners,Under Trials,Female,18-30,0
Chandigarh,2002,Foreigners,Under Trials,Female,30-50,0
Chandigarh,2002,Foreigners,Under Trials,Female,50+,0
Chandigarh,2002,Foreigners,Under Trials,Male,16-18,0
Chandigarh,2002,Foreigners,Under Trials,Male,18-30,0
Chandigarh,2002,Foreigners,Under Trials,Male,30-50,0
Chandigarh,2002,Foreigners,Under Trials,Male,50+,0
Chandigarh,2002,Indians,Convicts,Female,16-18,0
Chandigarh,2002,Indians,Convicts,Female,18-30,2
Chandigarh,2002,Indians,Convicts,Female,30-50,4
Chandigarh,2002,Indians,Convicts,Female,50+,1
Chandigarh,2002,Indians,Convicts,Male,16-18,0
Chandigarh,2002,Indians,Convicts,Male,18-30,35
Chandigarh,2002,Indians,Convicts,Male,30-50,55
Chandigarh,2002,Indians,Convicts,Male,50+,12
Chandigarh,2002,Indians,Under Trials,Female,16-18,0
Chandigarh,2002,Indians,Under Trials,Female,18-30,6
Chandigarh,2002,Indians,Under Trials,Female,30-50,8
Chandigarh,2002,Indians,Under Trials,Female,50+,2
Chandigarh,2002,Indians,Under Trials,Male,16-18,0
Chandigarh,2002,Indians,Under Trials,Male,18-30,169
Chandigarh,2002,Indians,Under Trials,Male,30-50,110
Chandigarh,2002,Indians,Under Trials,Male,50+,50
Chandigarh,2003,Foreigners,Convicts,Female,16-18,0
Chandigarh,2003,Foreigners,Convicts,Female,18-30,0
Chandigarh,2003,Foreigners,Convicts,Female,30-50,0
Chandigarh,2003,Foreigners,Convicts,Female,50+,0
Chandigarh,2003,Foreigners,Convicts,Male,16-18,0
Chandigarh,2003,Foreigners,Convicts,Male,18-30,0
Chandigarh,2003,Foreigners,Convicts,Male,30-50,2
Chandigarh,2003,Foreigners,Convicts,Male,50+,0
Chandigarh,2003,Foreigners,Under Trials,Female,16-18,0
Chandigarh,2003,Foreigners,Under Trials,Female,18-30,0
Chandigarh,2003,Foreigners,Under Trials,Female,30-50,0
Chandigarh,2003,Foreigners,Under Trials,Female,50+,0
Chandigarh,2003,Foreigners,Under Trials,Male,16-18,0
Chandigarh,2003,Foreigners,Under Trials,Male,18-30,1
Chandigarh,2003,Foreigners,Under Trials,Male,30-50,0
Chandigarh,2003,Foreigners,Under Trials,Male,50+,0
Chandigarh,2003,Indians,Convicts,Female,16-18,0
Chandigarh,2003,Indians,Convicts,Female,18-30,1
Chandigarh,2003,Indians,Convicts,Female,30-50,6
Chandigarh,2003,Indians,Convicts,Female,50+,2
Chandigarh,2003,Indians,Convicts,Male,16-18,0
Chandigarh,2003,Indians,Convicts,Male,18-30,35
Chandigarh,2003,Indians,Convicts,Male,30-50,74
Chandigarh,2003,Indians,Convicts,Male,50+,24
Chandigarh,2003,Indians,Under Trials,Female,16-18,0
Chandigarh,2003,Indians,Under Trials,Female,18-30,3
Chandigarh,2003,Indians,Under Trials,Female,30-50,10
Chandigarh,2003,Indians,Under Trials,Female,50+,5
Chandigarh,2003,Indians,Under Trials,Male,16-18,0
Chandigarh,2003,Indians,Under Trials,Male,18-30,109
Chandigarh,2003,Indians,Under Trials,Male,30-50,165
Chandigarh,2003,Indians,Under Trials,Male,50+,88
Chandigarh,2004,Foreigners,Convicts,Female,16-18,0
Chandigarh,2004,Foreigners,Convicts,Female,18-30,0
Chandigarh,2004,Foreigners,Convicts,Female,30-50,0
Chandigarh,2004,Foreigners,Convicts,Female,50+,0
Chandigarh,2004,Foreigners,Convicts,Male,16-18,0
Chandigarh,2004,Foreigners,Convicts,Male,18-30,0
Chandigarh,2004,Foreigners,Convicts,Male,30-50,2
Chandigarh,2004,Foreigners,Convicts,Male,50+,0
Chandigarh,2004,Foreigners,Under Trials,Female,16-18,0
Chandigarh,2004,Foreigners,Under Trials,Female,18-30,0
Chandigarh,2004,Foreigners,Under Trials,Female,30-50,0
Chandigarh,2004,Foreigners,Under Trials,Female,50+,0
Chandigarh,2004,Foreigners,Under Trials,Male,16-18,0
Chandigarh,2004,Foreigners,Under Trials,Male,18-30,1
Chandigarh,2004,Foreigners,Under Trials,Male,30-50,0
Chandigarh,2004,Foreigners,Under Trials,Male,50+,0
Chandigarh,2004,Indians,Convicts,Female,16-18,0
Chandigarh,2004,Indians,Convicts,Female,18-30,1
Chandigarh,2004,Indians,Convicts,Female,30-50,5
Chandigarh,2004,Indians,Convicts,Female,50+,1
Chandigarh,2004,Indians,Convicts,Male,16-18,0
Chandigarh,2004,Indians,Convicts,Male,18-30,28
Chandigarh,2004,Indians,Convicts,Male,30-50,62
Chandigarh,2004,Indians,Convicts,Male,50+,21
Chandigarh,2004,Indians,Under Trials,Female,16-18,0
Chandigarh,2004,Indians,Under Trials,Female,18-30,6
Chandigarh,2004,Indians,Under Trials,Female,30-50,16
Chandigarh,2004,Indians,Under Trials,Female,50+,2
Chandigarh,2004,Indians,Under Trials,Male,16-18,0
Chandigarh,2004,Indians,Under Trials,Male,18-30,149
Chandigarh,2004,Indians,Under Trials,Male,30-50,168
Chandigarh,2004,Indians,Under Trials,Male,50+,87
Chandigarh,2005,Foreigners,Convicts,Female,16-18,0
Chandigarh,2005,Foreigners,Convicts,Female,18-30,0
Chandigarh,2005,Foreigners,Convicts,Female,30-50,0
Chandigarh,2005,Foreigners,Convicts,Female,50+,0
Chandigarh,2005,Foreigners,Convicts,Male,16-18,0
Chandigarh,2005,Foreigners,Convicts,Male,18-30,0
Chandigarh,2005,Foreigners,Convicts,Male,30-50,2
Chandigarh,2005,Foreigners,Convicts,Male,50+,0
Chandigarh,2005,Foreigners,Under Trials,Female,16-18,0
Chandigarh,2005,Foreigners,Under Trials,Female,18-30,0
Chandigarh,2005,Foreigners,Under Trials,Female,30-50,0
Chandigarh,2005,Foreigners,Under Trials,Female,50+,0
Chandigarh,2005,Foreigners,Under Trials,Male,16-18,0
Chandigarh,2005,Foreigners,Under Trials,Male,18-30,2
Chandigarh,2005,Foreigners,Under Trials,Male,30-50,2
Chandigarh,2005,Foreigners,Under Trials,Male,50+,0
Chandigarh,2005,Indians,Convicts,Female,16-18,0
Chandigarh,2005,Indians,Convicts,Female,18-30,2
Chandigarh,2005,Indians,Convicts,Female,30-50,2
Chandigarh,2005,Indians,Convicts,Female,50+,2
Chandigarh,2005,Indians,Convicts,Male,16-18,0
Chandigarh,2005,Indians,Convicts,Male,18-30,17
Chandigarh,2005,Indians,Convicts,Male,30-50,42
Chandigarh,2005,Indians,Convicts,Male,50+,17
Chandigarh,2005,Indians,Under Trials,Female,16-18,0
Chandigarh,2005,Indians,Under Trials,Female,18-30,7
Chandigarh,2005,Indians,Under Trials,Female,30-50,9
Chandigarh,2005,Indians,Under Trials,Female,50+,4
Chandigarh,2005,Indians,Under Trials,Male,16-18,0
Chandigarh,2005,Indians,Under Trials,Male,18-30,135
Chandigarh,2005,Indians,Under Trials,Male,30-50,150
Chandigarh,2005,Indians,Under Trials,Male,50+,62
Chandigarh,2006,Foreigners,Convicts,Female,16-18,0
Chandigarh,2006,Foreigners,Convicts,Female,18-30,0
Chandigarh,2006,Foreigners,Convicts,Female,30-50,0
Chandigarh,2006,Foreigners,Convicts,Female,50+,0
Chandigarh,2006,Foreigners,Convicts,Male,16-18,0
Chandigarh,2006,Foreigners,Convicts,Male,18-30,0
Chandigarh,2006,Foreigners,Convicts,Male,30-50,2
Chandigarh,2006,Foreigners,Convicts,Male,50+,0
Chandigarh,2006,Foreigners,Under Trials,Female,16-18,0
Chandigarh,2006,Foreigners,Under Trials,Female,18-30,0
Chandigarh,2006,Foreigners,Under Trials,Female,30-50,0
Chandigarh,2006,Foreigners,Under Trials,Female,50+,0
Chandigarh,2006,Foreigners,Under Trials,Male,16-18,0
Chandigarh,2006,Foreigners,Under Trials,Male,18-30,3
Chandigarh,2006,Foreigners,Under Trials,Male,30-50,2
Chandigarh,2006,Foreigners,Under Trials,Male,50+,0
Chandigarh,2006,Indians,Convicts,Female,16-18,0
Chandigarh,2006,Indians,Convicts,Female,18-30,2
Chandigarh,2006,Indians,Convicts,Female,30-50,4
Chandigarh,2006,Indians,Convicts,Female,50+,1
Chandigarh,2006,Indians,Convicts,Male,16-18,0
Chandigarh,2006,Indians,Convicts,Male,18-30,31
Chandigarh,2006,Indians,Convicts,Male,30-50,44
Chandigarh,2006,Indians,Convicts,Male,50+,23
Chandigarh,2006,Indians,Under Trials,Female,16-18,0
Chandigarh,2006,Indians,Under Trials,Female,18-30,4
Chandigarh,2006,Indians,Under Trials,Female,30-50,12
Chandigarh,2006,Indians,Under Trials,Female,50+,3
Chandigarh,2006,Indians,Under Trials,Male,16-18,0
Chandigarh,2006,Indians,Under Trials,Male,18-30,124
Chandigarh,2006,Indians,Under Trials,Male,30-50,142
Chandigarh,2006,Indians,Under Trials,Male,50+,41
Chandigarh,2007,Foreigners,Convicts,Female,16-18,0
Chandigarh,2007,Foreigners,Convicts,Female,18-30,0
Chandigarh,2007,Foreigners,Convicts,Female,30-50,0
Chandigarh,2007,Foreigners,Convicts,Female,50+,0
Chandigarh,2007,Foreigners,Convicts,Male,16-18,0
Chandigarh,2007,Foreigners,Convicts,Male,18-30,0
Chandigarh,2007,Foreigners,Convicts,Male,30-50,1
Chandigarh,2007,Foreigners,Convicts,Male,50+,0
Chandigarh,2007,Foreigners,Under Trials,Female,16-18,0
Chandigarh,2007,Foreigners,Under Trials,Female,18-30,0
Chandigarh,2007,Foreigners,Under Trials,Female,30-50,0
Chandigarh,2007,Foreigners,Under Trials,Female,50+,0
Chandigarh,2007,Foreigners,Under Trials,Male,16-18,0
Chandigarh,2007,Foreigners,Under Trials,Male,18-30,2
Chandigarh,2007,Foreigners,Under Trials,Male,30-50,4
Chandigarh,2007,Foreigners,Under Trials,Male,50+,0
Chandigarh,2007,Indians,Convicts,Female,16-18,0
Chandigarh,2007,Indians,Convicts,Female,18-30,2
Chandigarh,2007,Indians,Convicts,Female,30-50,2
Chandigarh,2007,Indians,Convicts,Female,50+,1
Chandigarh,2007,Indians,Convicts,Male,16-18,0
Chandigarh,2007,Indians,Convicts,Male,18-30,34
Chandigarh,2007,Indians,Convicts,Male,30-50,78
Chandigarh,2007,Indians,Convicts,Male,50+,28
Chandigarh,2007,Indians,Under Trials,Female,16-18,0
Chandigarh,2007,Indians,Under Trials,Female,18-30,4
Chandigarh,2007,Indians,Under Trials,Female,30-50,7
Chandigarh,2007,Indians,Under Trials,Female,50+,2
Chandigarh,2007,Indians,Under Trials,Male,16-18,0
Chandigarh,2007,Indians,Under Trials,Male,18-30,105
Chandigarh,2007,Indians,Under Trials,Male,30-50,168
Chandigarh,2007,Indians,Under Trials,Male,50+,63
Chandigarh,2008,Foreigners,Convicts,Female,16-18,0
Chandigarh,2008,Foreigners,Convicts,Female,18-30,0
Chandigarh,2008,Foreigners,Convicts,Female,30-50,0
Chandigarh,2008,Foreigners,Convicts,Female,50+,0
Chandigarh,2008,Foreigners,Convicts,Male,16-18,0
Chandigarh,2008,Foreigners,Convicts,Male,18-30,1
Chandigarh,2008,Foreigners,Convicts,Male,30-50,1
Chandigarh,2008,Foreigners,Convicts,Male,50+,0
Chandigarh,2008,Foreigners,Under Trials,Female,16-18,0
Chandigarh,2008,Foreigners,Under Trials,Female,18-30,0
Chandigarh,2008,Foreigners,Under Trials,Female,30-50,0
Chandigarh,2008,Foreigners,Under Trials,Female,50+,0
Chandigarh,2008,Foreigners,Under Trials,Male,16-18,0
Chandigarh,2008,Foreigners,Under Trials,Male,18-30,4
Chandigarh,2008,Foreigners,Under Trials,Male,30-50,2
Chandigarh,2008,Foreigners,Under Trials,Male,50+,0
Chandigarh,2008,Indians,Convicts,Female,16-18,0
Chandigarh,2008,Indians,Convicts,Female,18-30,2
Chandigarh,2008,Indians,Convicts,Female,30-50,3
Chandigarh,2008,Indians,Convicts,Female,50+,0
Chandigarh,2008,Indians,Convicts,Male,16-18,0
Chandigarh,2008,Indians,Convicts,Male,18-30,55
Chandigarh,2008,Indians,Convicts,Male,30-50,86
Chandigarh,2008,Indians,Convicts,Male,50+,40
Chandigarh,2008,Indians,Under Trials,Female,16-18,0
Chandigarh,2008,Indians,Under Trials,Female,18-30,4
Chandigarh,2008,Indians,Under Trials,Female,30-50,6
Chandigarh,2008,Indians,Under Trials,Female,50+,2
Chandigarh,2008,Indians,Under Trials,Male,16-18,0
Chandigarh,2008,Indians,Under Trials,Male,18-30,109
Chandigarh,2008,Indians,Under Trials,Male,30-50,162
Chandigarh,2008,Indians,Under Trials,Male,50+,49
Chandigarh,2009,Foreigners,Convicts,Female,16-18,0
Chandigarh,2009,Foreigners,Convicts,Female,18-30,0
Chandigarh,2009,Foreigners,Convicts,Female,30-50,0
Chandigarh,2009,Foreigners,Convicts,Female,50+,0
Chandigarh,2009,Foreigners,Convicts,Male,16-18,0
Chandigarh,2009,Foreigners,Convicts,Male,18-30,1
Chandigarh,2009,Foreigners,Convicts,Male,30-50,3
Chandigarh,2009,Foreigners,Convicts,Male,50+,0
Chandigarh,2009,Foreigners,Under Trials,Female,16-18,0
Chandigarh,2009,Foreigners,Under Trials,Female,18-30,0
Chandigarh,2009,Foreigners,Under Trials,Female,30-50,0
Chandigarh,2009,Foreigners,Under Trials,Female,50+,0
Chandigarh,2009,Foreigners,Under Trials,Male,16-18,0
Chandigarh,2009,Foreigners,Under Trials,Male,18-30,2
Chandigarh,2009,Foreigners,Under Trials,Male,30-50,3
Chandigarh,2009,Foreigners,Under Trials,Male,50+,0
Chandigarh,2009,Indians,Convicts,Female,16-18,0
Chandigarh,2009,Indians,Convicts,Female,18-30,2
Chandigarh,2009,Indians,Convicts,Female,30-50,6
Chandigarh,2009,Indians,Convicts,Female,50+,1
Chandigarh,2009,Indians,Convicts,Male,16-18,0
Chandigarh,2009,Indians,Convicts,Male,18-30,81
Chandigarh,2009,Indians,Convicts,Male,30-50,122
Chandigarh,2009,Indians,Convicts,Male,50+,28
Chandigarh,2009,Indians,Under Trials,Female,16-18,0
Chandigarh,2009,Indians,Under Trials,Female,18-30,8
Chandigarh,2009,Indians,Under Trials,Female,30-50,10
Chandigarh,2009,Indians,Under Trials,Female,50+,2
Chandigarh,2009,Indians,Under Trials,Male,16-18,0
Chandigarh,2009,Indians,Under Trials,Male,18-30,133
Chandigarh,2009,Indians,Under Trials,Male,30-50,161
Chandigarh,2009,Indians,Under Trials,Male,50+,80
Chandigarh,2010,Foreigners,Convicts,Female,16-18,0
Chandigarh,2010,Foreigners,Convicts,Female,18-30,0
Chandigarh,2010,Foreigners,Convicts,Female,30-50,0
Chandigarh,2010,Foreigners,Convicts,Female,50+,0
Chandigarh,2010,Foreigners,Convicts,Male,16-18,0
Chandigarh,2010,Foreigners,Convicts,Male,18-30,3
Chandigarh,2010,Foreigners,Convicts,Male,30-50,2
Chandigarh,2010,Foreigners,Convicts,Male,50+,0
Chandigarh,2010,Foreigners,Under Trials,Female,16-18,0
Chandigarh,2010,Foreigners,Under Trials,Female,18-30,0
Chandigarh,2010,Foreigners,Under Trials,Female,30-50,0
Chandigarh,2010,Foreigners,Under Trials,Female,50+,0
Chandigarh,2010,Foreigners,Under Trials,Male,16-18,0
Chandigarh,2010,Foreigners,Under Trials,Male,18-30,6
Chandigarh,2010,Foreigners,Under Trials,Male,30-50,3
Chandigarh,2010,Foreigners,Under Trials,Male,50+,0
Chandigarh,2010,Indians,Convicts,Female,16-18,0
Chandigarh,2010,Indians,Convicts,Female,18-30,1
Chandigarh,2010,Indians,Convicts,Female,30-50,6
Chandigarh,2010,Indians,Convicts,Female,50+,3
Chandigarh,2010,Indians,Convicts,Male,16-18,0
Chandigarh,2010,Indians,Convicts,Male,18-30,72
Chandigarh,2010,Indians,Convicts,Male,30-50,107
Chandigarh,2010,Indians,Convicts,Male,50+,27
Chandigarh,2010,Indians,Under Trials,Female,16-18,0
Chandigarh,2010,Indians,Under Trials,Female,18-30,4
Chandigarh,2010,Indians,Under Trials,Female,30-50,13
Chandigarh,2010,Indians,Under Trials,Female,50+,2
Chandigarh,2010,Indians,Under Trials,Male,16-18,0
Chandigarh,2010,Indians,Under Trials,Male,18-30,142
Chandigarh,2010,Indians,Under Trials,Male,30-50,165
Chandigarh,2010,Indians,Under Trials,Male,50+,84
Chandigarh,2011,Foreigners,Convicts,Female,16-18,0
Chandigarh,2011,Foreigners,Convicts,Female,18-30,0
Chandigarh,2011,Foreigners,Convicts,Female,30-50,0
Chandigarh,2011,Foreigners,Convicts,Female,50+,0
Chandigarh,2011,Foreigners,Convicts,Male,16-18,0
Chandigarh,2011,Foreigners,Convicts,Male,18-30,3
Chandigarh,2011,Foreigners,Convicts,Male,30-50,4
Chandigarh,2011,Foreigners,Convicts,Male,50+,0
Chandigarh,2011,Foreigners,Under Trials,Female,16-18,0
Chandigarh,2011,Foreigners,Under Trials,Female,18-30,0
Chandigarh,2011,Foreigners,Under Trials,Female,30-50,0
Chandigarh,2011,Foreigners,Under Trials,Female,50+,0
Chandigarh,2011,Foreigners,Under Trials,Male,16-18,0
Chandigarh,2011,Foreigners,Under Trials,Male,18-30,2
Chandigarh,2011,Foreigners,Under Trials,Male,30-50,0
Chandigarh,2011,Foreigners,Under Trials,Male,50+,0
Chandigarh,2011,Indians,Convicts,Female,16-18,0
Chandigarh,2011,Indians,Convicts,Female,18-30,2
Chandigarh,2011,Indians,Convicts,Female,30-50,3
Chandigarh,2011,Indians,Convicts,Female,50+,1
Chandigarh,2011,Indians,Convicts,Male,16-18,0
Chandigarh,2011,Indians,Convicts,Male,18-30,93
Chandigarh,2011,Indians,Convicts,Male,30-50,114
Chandigarh,2011,Indians,Convicts,Male,50+,22
Chandigarh,2011,Indians,Under Trials,Female,16-18,0
Chandigarh,2011,Indians,Under Trials,Female,18-30,6
Chandigarh,2011,Indians,Under Trials,Female,30-50,7
Chandigarh,2011,Indians,Under Trials,Female,50+,3
Chandigarh,2011,Indians,Under Trials,Male,16-18,0
Chandigarh,2011,Indians,Under Trials,Male,18-30,120
Chandigarh,2011,Indians,Under Trials,Male,30-50,188
Chandigarh,2011,Indians,Under Trials,Male,50+,58
Chandigarh,2012,Foreigners,Convicts,Female,16-18,0
Chandigarh,2012,Foreigners,Convicts,Female,18-30,0
Chandigarh,2012,Foreigners,Convicts,Female,30-50,0
Chandigarh,2012,Foreigners,Convicts,Female,50+,0
Chandigarh,2012,Foreigners,Convicts,Male,16-18,0
Chandigarh,2012,Foreigners,Convicts,Male,18-30,3
Chandigarh,2012,Foreigners,Convicts,Male,30-50,6
Chandigarh,2012,Foreigners,Convicts,Male,50+,0
Chandigarh,2012,Foreigners,Under Trials,Female,16-18,0
Chandigarh,2012,Foreigners,Under Trials,Female,18-30,0
Chandigarh,2012,Foreigners,Under Trials,Female,30-50,0
Chandigarh,2012,Foreigners,Under Trials,Female,50+,0
Chandigarh,2012,Foreigners,Under Trials,Male,16-18,0
Chandigarh,2012,Foreigners,Under Trials,Male,18-30,2
Chandigarh,2012,Foreigners,Under Trials,Male,30-50,2
Chandigarh,2012,Foreigners,Under Trials,Male,50+,0
Chandigarh,2012,Indians,Convicts,Female,16-18,0
Chandigarh,2012,Indians,Convicts,Female,18-30,4
Chandigarh,2012,Indians,Convicts,Female,30-50,9
Chandigarh,2012,Indians,Convicts,Female,50+,2
Chandigarh,2012,Indians,Convicts,Male,16-18,0
Chandigarh,2012,Indians,Convicts,Male,18-30,132
Chandigarh,2012,Indians,Convicts,Male,30-50,81
Chandigarh,2012,Indians,Convicts,Male,50+,24
Chandigarh,2012,Indians,Under Trials,Female,16-18,0
Chandigarh,2012,Indians,Under Trials,Female,18-30,7
Chandigarh,2012,Indians,Under Trials,Female,30-50,14
Chandigarh,2012,Indians,Under Trials,Female,50+,5
Chandigarh,2012,Indians,Under Trials,Male,16-18,0
Chandigarh,2012,Indians,Under Trials,Male,18-30,168
Chandigarh,2012,Indians,Under Trials,Male,30-50,225
Chandigarh,2012,Indians,Under Trials,Male,50+,50
Chandigarh,2013,Foreigners,Convicts,Female,16-18,0
Chandigarh,2013,Foreigners,Convicts,Female,18-30,0
Chandigarh,2013,Foreigners,Convicts,Female,30-50,0
Chandigarh,2013,Foreigners,Convicts,Female,50+,0
Chandigarh,2013,Foreigners,Convicts,Male,16-18,0
Chandigarh,2013,Foreigners,Convicts,Male,18-30,3
Chandigarh,2013,Foreigners,Convicts,Male,30-50,5
Chandigarh,2013,Foreigners,Convicts,Male,50+,0
Chandigarh,2013,Foreigners,Under Trials,Female,16-18,0
Chandigarh,2013,Foreigners,Under Trials,Female,18-30,0
Chandigarh,2013,Foreigners,Under Trials,Female,30-50,0
Chandigarh,2013,Foreigners,Under Trials,Female,50+,0
Chandigarh,2013,Foreigners,Under Trials,Male,16-18,0
Chandigarh,2013,Foreigners,Under Trials,Male,18-30,4
Chandigarh,2013,Foreigners,Under Trials,Male,30-50,0
Chandigarh,2013,Foreigners,Under Trials,Male,50+,0
Chandigarh,2013,Indians,Convicts,Female,16-18,0
Chandigarh,2013,Indians,Convicts,Female,18-30,4
Chandigarh,2013,Indians,Convicts,Female,30-50,7
Chandigarh,2013,Indians,Convicts,Female,50+,1
Chandigarh,2013,Indians,Convicts,Male,16-18,0
Chandigarh,2013,Indians,Convicts,Male,18-30,109
Chandigarh,2013,Indians,Convicts,Male,30-50,91
Chandigarh,2013,Indians,Convicts,Male,50+,50
Chandigarh,2013,Indians,Under Trials,Female,16-18,0
Chandigarh,2013,Indians,Under Trials,Female,18-30,6
Chandigarh,2013,Indians,Under Trials,Female,30-50,3
Chandigarh,2013,Indians,Under Trials,Female,50+,3
Chandigarh,2013,Indians,Under Trials,Male,16-18,0
Chandigarh,2013,Indians,Under Trials,Male,18-30,146
Chandigarh,2013,Indians,Under Trials,Male,30-50,128
Chandigarh,2013,Indians,Under Trials,Male,50+,101
Chhattisgarh,2001,Foreigners,Convicts,Female,16-18,0
Chhattisgarh,2001,Foreigners,Convicts,Female,18-30,0
Chhattisgarh,2001,Foreigners,Convicts,Female,30-50,0
Chhattisgarh,2001,Foreigners,Convicts,Female,50+,0
Chhattisgarh,2001,Foreigners,Convicts,Male,16-18,0
Chhattisgarh,2001,Foreigners,Convicts,Male,18-30,0
Chhattisgarh,2001,Foreigners,Convicts,Male,30-50,0
Chhattisgarh,2001,Foreigners,Convicts,Male,50+,0
Chhattisgarh,2001,Foreigners,Under Trials,Female,16-18,0
Chhattisgarh,2001,Foreigners,Under Trials,Female,18-30,0
Chhattisgarh,2001,Foreigners,Under Trials,Female,30-50,0
Chhattisgarh,2001,Foreigners,Under Trials,Female,50+,0
Chhattisgarh,2001,Foreigners,Under Trials,Male,16-18,0
Chhattisgarh,2001,Foreigners,Under Trials,Male,18-30,0
Chhattisgarh,2001,Foreigners,Under Trials,Male,30-50,0
Chhattisgarh,2001,Foreigners,Under Trials,Male,50+,0
Chhattisgarh,2001,Indians,Convicts,Female,16-18,0
Chhattisgarh,2001,Indians,Convicts,Female,18-30,67
Chhattisgarh,2001,Indians,Convicts,Female,30-50,86
