state,year,nationality,type,sex,agegrp,nPrisoners
A & N Islands,2003,Indians,Under Trials,Male,30-50,40
A & N Islands,2003,Indians,Under Trials,Male,50+,4
A & N Islands,2004,Foreigners,Convicts,Female,16-18,0
A & N Islands,2004,Foreigners,Convicts,Female,18-30,0
A & N Islands,2004,Foreigners,Convicts,Female,30-50,0
A & N Islands,2004,Foreigners,Convicts,Female,50+,0
A & N Islands,2004,Foreigners,Convicts,Male,16-18,0
A & N Islands,2004,Foreigners,Convicts,Male,18-30,0
A & N Islands,2004,Foreigners,Convicts,Male,30-50,0
A & N Islands,2004,Foreigners,Convicts,Male,50+,0
A & N Islands,2004,Foreigners,Under Trials,Female,16-18,0
A & N Islands,2004,Foreigners,Under Trials,Female,18-30,0
A & N Islands,2004,Foreigners,Under Trials,Female,30-50,0
A & N Islands,2004,Foreigners,Under Trials,Female,50+,0
A & N Islands,2004,Foreigners,Under Trials,Male,16-18,0
A & N Islands,2004,Foreigners,Under Trials,Male,18-30,49
A & N Islands,2004,Foreigners,Under Trials,Male,30-50,17
A & N Islands,2004,Foreigners,Under Trials,Male,50+,2
A & N Islands,2004,Indians,Convicts,Female,16-18,0
A & N Islands,2004,Indians,Convicts,Female,18-30,2
A & N Islands,2004,Indians,Convicts,Female,30-50,0
A & N Islands,2004,Indians,Convicts,Female,50+,0
A & N Islands,2004,Indians,Convicts,Male,16-18,0
A & N Islands,2004,Indians,Convicts,Male,18-30,28
A & N Islands,2004,Indians,Convicts,Male,30-50,26
A & N Islands,2004,Indians,Convicts,Male,50+,0
A & N Islands,2004,Indians,Under Trials,Female,16-18,0
A & N Islands,2004,Indians,Under Trials,Female,18-30,0
A & N Islands,2004,Indians,Under Trials,Female,30-50,1
A & N Islands,2004,Indians,Under Trials,Female,50+,0
A & N Islands,2004,Indians,Under Trials,Male,16-18,0
A & N Islands,2004,Indians,Under Trials,Male,18-30,41
A & N Islands,2004,Indians,Under Trials,Male,30-50,51
A & N Islands,2004,Indians,Under Trials,Male,50+,4
A & N Islands,2005,Foreigners,Convicts,Female,16-18,0
A & N Islands,2005,Foreigners,Convicts,Female,18-30,0
A & N Islands,2005,Foreigners,Convicts,Female,30-50,0
A & N Islands,2005,Foreigners,Convicts,Female,50+,0
