State_UT_name,Year,Jail_Type,Total_Convicts,Total_Under_trial,Total
A & N Islands,2012,District Jail,654,348,1002
A & N Islands,2012,Sub_Jail,4,18,22
A & N Islands,2012,Women Jail,0,0,0
A & N Islands,2012,Borstal School,0,0,0
A & N Islands,2012,Open Jail,0,0,0
A & N Islands,2012,Special Jail,102,0,102
A & N Islands,2012,Others,0,0,0
A & N Islands,2012,Total,760,366,1126
Chandigarh,2001,Central Jail,0,0,0
Chandigarh,2001,District Jail,0,0,0
Chandigarh,2001,Sub_Jail,0,0,0
Chandigarh,2001,Women Jail,0,0,0
Chandigarh,2001,Borstal School,0,0,0
Chandigarh,2001,Open Jail,0,0,0
Chandigarh,2001,Special Jail,0,0,0
Chandigarh,2001,Others,102,324,426
Chandigarh,2001,Total,102,324,426
Chandigarh,2002,Central Jail,0,0,0
Chandigarh,2002,District Jail,0,0,0
Chandigarh,2002,Sub_Jail,0,0,0
Chandigarh,2002,Women Jail,0,0,0
Chandigarh,2002,Borstal School,0,0,0
Chandigarh,2002,Open Jail,0,0,0
Chandigarh,2002,Special Jail,0,0,0
Chandigarh,2002,Others,111,345,456
Chandigarh,2002,Total,111,345,456
Chandigarh,2003,Central Jail,0,0,0
Chandigarh,2003,District Jail,0,0,0
Chandigarh,2003,Sub_Jail,0,0,0
Chandigarh,2003,Women Jail,0,0,0
Chandigarh,2003,Borstal School,0,0,0
Chandigarh,2003,Open Jail,0,0,0
Chandigarh,2003,Special Jail,0,0,0
Chandigarh,2003,Others,144,381,525
Chandigarh,2003,Total,144,381,525
Chandigarh,2004,Central Jail,0,0,0
Chandigarh,2004,District Jail,0,0,0
Chandigarh,2004,Sub_Jail,0,0,0
Chandigarh,2004,Women Jail,0,0,0
Chandigarh,2004,Borstal School,0,0,0
Chandigarh,2004,Open Jail,0,0,0
Chandigarh,2004,Special Jail,0,0,0
Chandigarh,2004,Others,120,429,549
Chandigarh,2004,Total,120,429,549
Chandigarh,2005,Central Jail,0,0,0
Chandigarh,2005,District Jail,0,0,0
Chandigarh,2005,Sub_Jail,0,0,0
Chandigarh,2005,Women Jail,0,0,0
Chandigarh,2005,Borstal School,0,0,0
Chandigarh,2005,Open Jail,0,0,0
Chandigarh,2005,Special Jail,0,0,0
Chandigarh,2005,Others,84,371,455
Chandigarh,2005,Total,84,371,455
Chandigarh,2006,Central Jail,0,0,0
Chandigarh,2006,District Jail,0,0,0
Chandigarh,2006,Sub_Jail,0,0,0
Chandigarh,2006,Women Jail,0,0,0
Chandigarh,2006,Borstal School,0,0,0
Chandigarh,2006,Open Jail,0,0,0
Chandigarh,2006,Special Jail,0,0,0
Chandigarh,2006,Others,107,331,438
Chandigarh,2006,Total,107,331,438
Chandigarh,2007,Central Jail,146,355,501
Chandigarh,2007,District Jail,0,0,0
Chandigarh,2007,Sub_Jail,0,0,0
Chandigarh,2007,Women Jail,0,0,0
